Nom,Contact,Adresse,Code Postal,Ville,Tel,Adresse perso,Repré,Groupement,SP,,,,Remarque,
La belle aventure,,12/15 rue des grandes écoles,86000,Poitiers,05 49 41 64 14,,,,,,,,,
Librairie La Mandragore,,21 rue Limogeanne,24000,Périgueux,05 53 53 35 40,,,,,,,,,
Librairie La Vagabonde,,58 rue Cagnolie,.6450,Saint-Martin-Vésubie,04 93 02 64 73,,,,,,,,,
Le bel aujourd’hui,,19 rue Ernest Renan,22220,Tréguier,,,,,,,,,,
Librairie L’autre rive,,24 avenue Etienne Billières,31300,Toulouse,,,,,,,,,,
L’Odyssée,,4 rue du Puits aux Braies,35400,Saint-Malo,,,,,,,,,,
Librairie le renard qui lit,,11 place de l’Hôtel de ville,49290,Chalonnes-sur-Loire,,,,,,,,,,
Librairie l’Encre bleue,,13 bis rue du Maréchal Foch,44210,Pornic,,,,,,,,,,
Librairie générale du Calvados,,98 rue Saint-Pierre,14000,Caen,,,,,,,,,,
Librairie Attitude,,17 rue Jean Jaurès,81600,Gaillac,,,,,,,,,,
Librairie Charabia,,Place Saint-Marcellin,.5200,Embrun,,,,,,,,,,
Librairie L’écume,,3 place de l’Église,56590,Groix,,,,,,,,,,
La petite marchande de prose,,21 rue Victor Hugo,14360,Trouville-sur-mer,,,,,,,,,,
L’Hirondaine,,10 rue Benoît Frachon,42700,Firminy,,,,,,,,,,
